source,scenario,year,observations,partial_year,qqq_return,qqq_mdd,control_current_corridor_return,control_current_corridor_mdd,control_current_corridor_mdd_better,control_current_corridor_return_within_5pp,control_current_corridor_both,v10_preserve_shock_recovery_return,v10_preserve_shock_recovery_mdd,v10_preserve_shock_recovery_mdd_better,v10_preserve_shock_recovery_return_within_5pp,v10_preserve_shock_recovery_both
alpaca_proxy,uniform_5bps,2016,252,False,0.08228310502282987,-0.12036529680365304,0.13494513725603352,-0.04569181765838892,True,True,True,0.06774495439206651,-0.04569181765838881,True,True,True
alpaca_proxy,uniform_5bps,2017,251,False,0.31431946671166977,-0.051403496552204886,0.4268008720223,-0.061016511461801315,False,True,False,0.4268008720223,-0.061016511461801315,False,True,False
alpaca_proxy,uniform_5bps,2018,251,False,-0.00963020030816697,-0.23155189032879941,0.023353815241072606,-0.14901144157000124,True,True,True,0.009574203012804983,-0.15583149276915675,True,True,True
alpaca_proxy,uniform_5bps,2019,252,False,0.3782574873590059,-0.10983203390717411,0.13172440067897084,-0.11924532626330675,False,False,False,0.14000130105782604,-0.11924532626330675,False,False,False
alpaca_proxy,uniform_5bps,2020,253,False,0.4756596585297015,-0.2855937209891132,0.42037592696533643,-0.11727166617292928,True,False,False,0.4389206507508925,-0.11727166617292917,True,True,True
alpaca_proxy,uniform_5bps,2021,252,False,0.26808822591955406,-0.10851538118591153,0.2634344486620992,-0.10660531914434046,True,True,True,0.2634344486620992,-0.10660531914434046,True,True,True
alpaca_proxy,uniform_5bps,2022,251,False,-0.33070252607766726,-0.35246962756423006,-0.14302901451322203,-0.15279190691636624,True,True,True,-0.13157280108314606,-0.14120066527220054,True,True,True
alpaca_proxy,uniform_5bps,2023,250,False,0.5379299984978212,-0.10908902369471662,0.32663149019580917,-0.121884083333208,False,False,False,0.33319758708772484,-0.12188408333320744,False,False,False
alpaca_proxy,uniform_5bps,2024,252,False,0.24836393826919134,-0.13557738189915702,0.1734681880797042,-0.11749023918223811,True,False,False,0.18306059728361257,-0.11040360685176587,True,False,False
alpaca_proxy,uniform_5bps,2025,250,False,0.2016313596619903,-0.22883303677342826,0.22612102228075726,-0.09373255614738318,True,True,True,0.2484438564275695,-0.09373255614738318,True,True,True
alpaca_proxy,uniform_5bps,2026,151,True,0.17346290960589972,-0.11834749376204157,0.098679167312123,-0.12082981461067155,False,False,False,0.10769965039129037,-0.12082981461067155,False,False,False
alpaca_proxy,uniform_10bps,2016,252,False,0.08228310502282987,-0.12036529680365304,0.13210412954355388,-0.0457877661600008,True,True,True,0.06559653229298434,-0.045787766160000576,True,True,True
alpaca_proxy,uniform_10bps,2017,251,False,0.31431946671166977,-0.051403496552204886,0.4243505788215498,-0.061307455467753846,False,True,False,0.4243505788215498,-0.061307455467753846,False,True,False
alpaca_proxy,uniform_10bps,2018,251,False,-0.00963020030816697,-0.23155189032879941,0.013078750398043626,-0.15302559788290815,True,True,True,-0.00017614850522196246,-0.15952079959530552,True,True,True
alpaca_proxy,uniform_10bps,2019,252,False,0.3782574873590059,-0.10983203390717411,0.12006844868889566,-0.12051179440053084,False,False,False,0.1293845277714165,-0.12051179440053073,False,False,False
alpaca_proxy,uniform_10bps,2020,253,False,0.4756596585297015,-0.2855937209891132,0.40930727671852196,-0.11741411321622197,True,False,False,0.4274078914440105,-0.11741411321622208,True,True,True
alpaca_proxy,uniform_10bps,2021,252,False,0.26808822591955406,-0.10851538118591153,0.2583347786376087,-0.10703449296565903,True,True,True,0.2583347786376087,-0.10703449296565903,True,True,True
alpaca_proxy,uniform_10bps,2022,251,False,-0.33070252607766726,-0.35246962756423006,-0.1489338713428099,-0.1583659817159433,True,True,True,-0.1357229477849532,-0.14520789731366834,True,True,True
alpaca_proxy,uniform_10bps,2023,250,False,0.5379299984978212,-0.10908902369471662,0.31781395466285334,-0.1233376081396137,False,False,False,0.3254536581023706,-0.12333760813961314,False,False,False
alpaca_proxy,uniform_10bps,2024,252,False,0.24836393826919134,-0.13557738189915702,0.16605758092958411,-0.11955588110847004,True,False,False,0.17599371776953654,-0.11205349581608803,True,False,False
alpaca_proxy,uniform_10bps,2025,250,False,0.2016313596619903,-0.22883303677342826,0.21802965809969632,-0.0952246727298387,True,True,True,0.2402048666945955,-0.0952246727298387,True,True,True
alpaca_proxy,uniform_10bps,2026,151,True,0.17346290960589972,-0.11834749376204157,0.0906463226356502,-0.12448052385515529,False,False,False,0.09987100567339557,-0.12448052385515529,False,False,False
alpaca_proxy,uniform_25bps,2016,252,False,0.08228310502282987,-0.12036529680365304,0.1236207198385244,-0.046075611664836646,True,True,True,0.05917445893229001,-0.046075611664836535,True,True,True
alpaca_proxy,uniform_25bps,2017,251,False,0.31431946671166977,-0.051403496552204886,0.417022781071563,-0.06217991541926515,False,True,False,0.417022781071563,-0.06217991541926515,False,True,False
alpaca_proxy,uniform_25bps,2018,251,False,-0.00963020030816697,-0.23155189032879941,-0.01714463767193608,-0.16496252294674707,True,True,True,-0.028878210798102377,-0.17049951952460607,True,True,True
alpaca_proxy,uniform_25bps,2019,252,False,0.3782574873590059,-0.10983203390717411,0.0858009209884385,-0.12430242554740045,False,False,False,0.09810915300709921,-0.12430242554740045,False,False,False
alpaca_proxy,uniform_25bps,2020,253,False,0.4756596585297015,-0.2855937209891132,0.37660736384233995,-0.11784135993584877,True,False,False,0.39340983046437983,-0.11784135993584854,True,False,False
alpaca_proxy,uniform_25bps,2021,252,False,0.26808822591955406,-0.10851538118591153,0.2431561044540218,-0.10832104104912943,True,True,True,0.2431561044540218,-0.10832104104912943,True,True,True
