source,scenario,year,observations,partial_year,qqq_return,qqq_mdd,control_current_corridor_return,control_current_corridor_mdd,control_current_corridor_mdd_better,control_current_corridor_return_within_5pp,control_current_corridor_both,v6_three_state_fast_return,v6_three_state_fast_mdd,v6_three_state_fast_mdd_better,v6_three_state_fast_return_within_5pp,v6_three_state_fast_both,v7_vxx_acute_1d_return,v7_vxx_acute_1d_mdd,v7_vxx_acute_1d_mdd_better,v7_vxx_acute_1d_return_within_5pp,v7_vxx_acute_1d_both,v8_ordered_qld_recovery_return,v8_ordered_qld_recovery_mdd,v8_ordered_qld_recovery_mdd_better,v8_ordered_qld_recovery_return_within_5pp,v8_ordered_qld_recovery_both,v9_hysteresis_strict_return,v9_hysteresis_strict_mdd,v9_hysteresis_strict_mdd_better,v9_hysteresis_strict_return_within_5pp,v9_hysteresis_strict_both,recommended_accelerated_return,recommended_accelerated_mdd,recommended_accelerated_mdd_better,recommended_accelerated_return_within_5pp,recommended_accelerated_both,v10_preserve_shock_recovery_return,v10_preserve_shock_recovery_mdd,v10_preserve_shock_recovery_mdd_better,v10_preserve_shock_recovery_return_within_5pp,v10_preserve_shock_recovery_both
local_core,uniform_5bps,2012,250,False,0.18112534240461864,-0.11637894714771457,0.07096319383103022,-0.12038675335346039,False,False,False,0.07096319383103022,-0.12038675335346039,False,False,False,0.07096319383103022,-0.12038675335346039,False,False,False,0.07096319383103022,-0.12038675335346039,False,False,False,0.07096319383103022,-0.12038675335346039,False,False,False,0.07096319383103022,-0.12038675335346039,False,False,False,0.07096319383103022,-0.12038675335346039,False,False,False
local_core,uniform_5bps,2013,252,False,0.36634180843066844,-0.05853795503906589,0.40305719319006816,-0.07919031266948351,False,True,False,0.40305719319006816,-0.07919031266948351,False,True,False,0.40305719319006816,-0.07919031266948351,False,True,False,0.40305719319006816,-0.07919031266948351,False,True,False,0.40305719319006816,-0.07919031266948351,False,True,False,0.40305719319006816,-0.07919031266948351,False,True,False,0.40305719319006816,-0.07919031266948351,False,True,False
local_core,uniform_5bps,2014,252,False,0.19181382856501084,-0.08248535332516738,0.14645988123401588,-0.10102295167339814,False,True,False,0.13881035534218378,-0.10121855056899243,False,False,False,0.13881035534218378,-0.10121855056899243,False,False,False,0.139939958859852,-0.10121855056899243,False,False,False,0.1414657810373774,-0.10121855056899243,False,False,False,0.13881035534218378,-0.10121855056899243,False,False,False,0.13945916419030469,-0.10102295167339814,False,False,False
local_core,uniform_5bps,2015,252,False,0.09435929702571366,-0.13941054644448447,0.07454388686804125,-0.1188735286374526,True,True,True,0.06205417541761715,-0.11715841321270848,True,True,True,0.05752135602311581,-0.11715841321270848,True,True,True,0.06205417541761715,-0.11715841321270848,True,True,True,0.057281091837757536,-0.11715841321270848,True,True,True,0.05752135602311581,-0.11715841321270848,True,True,True,0.056169990760187805,-0.1188735286374526,True,True,True
local_core,uniform_5bps,2016,252,False,0.07097879458091505,-0.13892378087763257,0.1038794852677396,-0.07806512041604063,True,True,True,0.09194011363760435,-0.07806512041604019,True,True,True,0.08486718759543277,-0.07806512041604041,True,True,True,0.09194011363760435,-0.07806512041604019,True,True,True,0.07922986534618759,-0.0780651204160403,True,True,True,0.08486718759543277,-0.07806512041604041,True,True,True,0.08940719554781795,-0.07806512041604075,True,True,True
local_core,uniform_5bps,2017,251,False,0.3266354282920485,-0.04882008555649542,0.45051950429090337,-0.061032964085086405,False,True,False,0.45051950429090337,-0.061032964085086405,False,True,False,0.45051950429090337,-0.061032964085086405,False,True,False,0.45051950429090337,-0.061032964085086405,False,True,False,0.45051950429090337,-0.061032964085086405,False,True,False,0.45051950429090337,-0.061032964085086405,False,True,False,0.45051950429090337,-0.061032964085086405,False,True,False
local_core,uniform_5bps,2018,251,False,-0.001262008063140363,-0.2279666681395217,0.03055875704944544,-0.14356368720665325,True,True,True,0.03274612801217014,-0.1492866471660952,True,True,True,0.03497995555081612,-0.14744655610837132,True,True,True,0.03482561182935662,-0.14928664716609474,True,True,True,0.034262844279391524,-0.1474465561083711,True,True,True,0.03497995555081612,-0.14744655610837132,True,True,True,0.016636675379706256,-0.15382067227208607,True,True,True
local_core,uniform_5bps,2019,252,False,0.3896158521282935,-0.10983202295735695,0.15648263039414556,-0.11902426922650033,False,False,False,0.22350603984255235,-0.10706612331882703,True,False,False,0.20553197872671336,-0.10706612331882737,True,False,False,0.2275400690043261,-0.10706612331882703,True,False,False,0.20225392202707937,-0.10706612331882692,True,False,False,0.20553197872671336,-0.10706612331882737,True,False,False,0.1649310685072536,-0.11902426922650011,False,False,False
local_core,uniform_5bps,2020,253,False,0.4840612884970408,-0.28559355658288277,0.43921202536850834,-0.11669717316694761,True,True,True,0.40093187707937683,-0.15626233591042027,True,False,False,0.3571863527644008,-0.1769515241778543,True,False,False,0.4034206455192302,-0.15626233591042027,True,False,False,0.36928284272653844,-0.15626233591042027,True,False,False,0.3776831120004731,-0.15626233591042027,True,False,False,0.47263735677030394,-0.11669717316694772,True,True,True
local_core,uniform_5bps,2021,252,False,0.27419694495662816,-0.10851528987739167,0.268472762248132,-0.10647847418357659,True,True,True,0.268472762248132,-0.10647847418357659,True,True,True,0.268472762248132,-0.10647847418357659,True,True,True,0.268472762248132,-0.10647847418357659,True,True,True,0.268472762248132,-0.10647847418357659,True,True,True,0.268472762248132,-0.10647847418357659,True,True,True,0.268472762248132,-0.10647847418357659,True,True,True
