acute_vxx_days,gate_streak_days,stage_days,cagr,cumulative_return,annual_volatility,sharpe_zero_rf,sharpe_bil_rf,max_drawdown,daily_corr_qqq,observations,turnover_per_year,calmar,cagr_gap_vs_qqq
1,3,5,0.18133400152106116,10.394908218275381,0.1537304773067594,1.1639776348080206,1.0657319223560353,-0.16614227737577503,0.7299444305249697,3671,13.332736017490598,1.0914380396443344,-0.020328701453454334
1,3,10,0.180368453652767,10.259675759482379,0.15349994107659487,1.1601536089990483,1.0617610307902803,-0.1661422773757748,0.7297499866277155,3671,13.332736017490598,1.085626467276694,-0.021294249321748504
1,5,5,0.18060189451368092,10.292233234242843,0.15369886090419516,1.1601401570378747,1.0618741037466501,-0.16883284862780745,0.7300346381137967,3671,13.284168869574499,1.0697082705263024,-0.02106080846083458
1,5,10,0.1797480735218473,10.173577192333049,0.1534739684916423,1.1568883410279993,1.0584792284372473,-0.16883284862780779,0.729851300473781,3671,13.284168869574499,1.0646510734300416,-0.0219146294526682
1,10,5,0.17950771464018045,10.14038447035525,0.15361062740635414,1.1546651376495052,1.0563403735917438,-0.17036278536753835,0.7312301008814082,3671,13.236631413840366,1.0536791486058,-0.022154988334335046
1,10,10,0.17878803753277817,10.041547984313278,0.1533990945616,1.1520562477413385,1.0535973855554563,-0.17036278536753713,0.7310514730995508,3671,13.236631413840366,1.0494547688162328,-0.02287466544173733
2,3,5,0.18133400152106116,10.394908218275381,0.1537304773067594,1.1639776348080206,1.0657319223560353,-0.16614227737577503,0.7299444305249697,3671,13.332736017490598,1.0914380396443344,-0.020328701453454334
2,3,10,0.180368453652767,10.259675759482379,0.15349994107659487,1.1601536089990483,1.0617610307902803,-0.1661422773757748,0.7297499866277155,3671,13.332736017490598,1.085626467276694,-0.021294249321748504
2,5,5,0.18060189451368092,10.292233234242843,0.15369886090419516,1.1601401570378747,1.0618741037466501,-0.16883284862780745,0.7300346381137967,3671,13.284168869574499,1.0697082705263024,-0.02106080846083458
2,5,10,0.1797480735218473,10.173577192333049,0.1534739684916423,1.1568883410279993,1.0584792284372473,-0.16883284862780779,0.729851300473781,3671,13.284168869574499,1.0646510734300416,-0.0219146294526682
2,10,5,0.17950771464018045,10.14038447035525,0.15361062740635414,1.1546651376495052,1.0563403735917438,-0.17036278536753835,0.7312301008814082,3671,13.236631413840366,1.0536791486058,-0.022154988334335046
2,10,10,0.17878803753277817,10.041547984313278,0.1533990945616,1.1520562477413385,1.0535973855554563,-0.17036278536753713,0.7310514730995508,3671,13.236631413840366,1.0494547688162328,-0.02287466544173733
3,3,5,0.18133400152106116,10.394908218275381,0.1537304773067594,1.1639776348080206,1.0657319223560353,-0.16614227737577503,0.7299444305249697,3671,13.332736017490598,1.0914380396443344,-0.020328701453454334
3,3,10,0.180368453652767,10.259675759482379,0.15349994107659487,1.1601536089990483,1.0617610307902803,-0.1661422773757748,0.7297499866277155,3671,13.332736017490598,1.085626467276694,-0.021294249321748504
3,5,5,0.18060189451368092,10.292233234242843,0.15369886090419516,1.1601401570378747,1.0618741037466501,-0.16883284862780745,0.7300346381137967,3671,13.284168869574499,1.0697082705263024,-0.02106080846083458
3,5,10,0.1797480735218473,10.173577192333049,0.1534739684916423,1.1568883410279993,1.0584792284372473,-0.16883284862780779,0.729851300473781,3671,13.284168869574499,1.0646510734300416,-0.0219146294526682
3,10,5,0.17950771464018045,10.14038447035525,0.15361062740635414,1.1546651376495052,1.0563403735917438,-0.17036278536753835,0.7312301008814082,3671,13.236631413840366,1.0536791486058,-0.022154988334335046
3,10,10,0.17878803753277817,10.041547984313278,0.1533990945616,1.1520562477413385,1.0535973855554563,-0.17036278536753713,0.7310514730995508,3671,13.236631413840366,1.0494547688162328,-0.02287466544173733
