year,bil_return,bil_max_drawdown,observations_x,start_x,end_x,proxy_return,proxy_max_drawdown,observations_y,start_y,end_y,return_diff,max_drawdown_diff
2022,0.0187431545743868,-0.0007360203546267208,3,2022-12-28,2022-12-30,0.018781621841334806,-0.0006701280019499878,3,2022-12-28,2022-12-30,3.846726694800573e-05,6.589235267673299e-05
2023,0.516445336608945,-0.10697777825567023,250,2023-01-03,2023-12-29,0.5164597388316199,-0.10697691898741113,250,2023-01-03,2023-12-29,1.4402222674902987e-05,8.592682591013201e-07
2024,0.2563548615889235,-0.12852797907950997,252,2024-01-02,2024-12-31,0.2563508960856078,-0.12855413992416942,252,2024-01-02,2024-12-31,-3.9655033157171005e-06,-2.6160844659450788e-05
2025,0.16299682342443322,-0.2104766088610499,250,2025-01-02,2025-12-31,0.16316348564980543,-0.21049767084389948,250,2025-01-02,2025-12-31,0.00016666222537220499,-2.1061982849568395e-05
2026,0.1820438383164067,-0.11653238592079718,151,2026-01-02,2026-08-10,0.18231437161246578,-0.11653153579154041,151,2026-01-02,2026-08-10,0.0002705332960590834,8.501292567686392e-07
