date,bil_return,proxy_return,bil_equity,proxy_equity
2020-06-01,0.0,0.0,1.0,1.0
2020-06-02,0.006162267029034088,0.00616238752493113,1.006162267029034,1.006162387524931
2020-06-03,0.00438224051581312,0.004382320601308025,1.010571512081091,1.0105717136840429
2020-06-04,-0.006946182738603376,-0.006946182738603376,1.0035518976877489,1.0035520978903298
2020-06-05,0.01955982224412658,0.019560497220516965,1.0231811944192772,1.0231820759117576
2020-06-08,0.007750194792773045,0.007749756127895987,1.0311110479843286,1.0311114874745082
2020-06-09,0.0072040678110791324,0.0072040678110791324,1.0385392418947605,1.0385396845510573
2020-06-10,0.01194744928663446,0.011947212841417448,1.050947136819478,1.0509473392066473
2020-06-11,-0.049090377510028566,-0.0490895019598917,0.9993557451299263,0.9993568577389196
2020-06-12,0.00786073991703061,0.007859864175204779,1.0072114207269829,1.0072116669033069
2020-06-15,0.012042580180746007,0.012042580180746007,1.0193408450200507,1.0193410941609728
2020-06-16,0.016986799774912856,0.016986799774912856,1.036656183856797,1.036656437229826
2020-06-17,0.0031464374996645916,0.003146636981358006,1.0399179577479432,1.0399184187121762
2020-06-18,0.002686891513419858,0.002687488290494195,1.042712104483269,1.0427131872855344
2020-06-19,-0.00014872744077441285,-0.00014868813039494393,1.0425570245805047,1.0425581482111788
2020-06-22,0.01190769470313796,0.011907495605302302,1.0549714753398214,1.0549724047792755
2020-06-23,0.00843278572365446,0.00843278572365446,1.0638678237359296,1.0638687610131474
2020-06-24,-0.020410680671452467,-0.020410680671452467,1.0421535573090224,1.0421544754557743
2020-06-25,0.009412312537291502,0.00941187550827005,1.051962632302265,1.0519631036391504
2020-06-26,-0.023357085195942415,-0.023356847686410012,1.0273918514766331,1.0273925616557276
2020-06-29,0.010811702193112673,0.010812100792481811,1.038499706210429,1.0385008335857953
2020-06-30,0.019414300723675535,0.019414300723675535,1.0586614518082471,1.0586626010708176
2020-07-01,0.011561236823061191,0.011561077763181516,1.070900887568048,1.0709018817267695
