proxy,start,end,observations,bil_strategy_annual_return,proxy_strategy_annual_return,strategy_annual_return_diff,bil_strategy_total_return,proxy_strategy_total_return,strategy_total_return_diff,bil_strategy_max_drawdown,proxy_strategy_max_drawdown,strategy_max_drawdown_diff,bil_strategy_sharpe,proxy_strategy_sharpe,bil_cash_annual_return,proxy_cash_annual_return,cash_annual_return_diff,bil_cash_total_return,proxy_cash_total_return,cash_total_return_diff
BOXX,2022-12-28,2026-08-10,906,0.31386310694738895,0.31401522746023947,0.00015212051285051764,1.6681847647924646,1.669295591895012,0.001110827102547507,-0.2104766088610499,-0.21049767084389948,-2.1061982849568395e-05,1.5501240276129202,1.5506990927517723,0.04588169766764283,0.04724037742624332,0.0013586797586004895,0.17501782057168436,0.18051498381187825,0.005497163240193892
SGOV,2020-06-01,2026-08-10,1556,0.20155046164944102,0.20160076592356524,5.0304274124224335e-05,2.1072435610323845,2.1080468915464485,0.0008033305140640046,-0.3230787276995848,-0.3229949941710917,8.373352849311289e-05,1.0310372080249395,1.0312498972099347,0.02853641100582882,0.02980623755493972,0.0012698265491108973,0.18973877866393618,0.19883734200611847,0.009098563342182286
