year,bil_return,bil_max_drawdown,observations_x,start_x,end_x,proxy_return,proxy_max_drawdown,observations_y,start_y,end_y,return_diff,max_drawdown_diff
2020,0.3284887702254815,-0.12645445253216536,150,2020-06-01,2020-12-31,0.32850116757004133,-0.12645350451751258,150,2020-06-01,2020-12-31,1.2397344559822443e-05,9.480146527796052e-07
2021,0.2691946747391394,-0.10591590908067428,252,2021-01-04,2021-12-31,0.26920681155528947,-0.10591300809863491,252,2021-01-04,2021-12-31,1.2136816150087881e-05,2.9009820393666175e-06
2022,-0.2963803308388008,-0.32003842578822905,251,2022-01-03,2022-12-30,-0.2962856177705181,-0.3199546148716368,251,2022-01-03,2022-12-30,9.471306828268133e-05,8.381091659226403e-05
2023,0.516445336608945,-0.10697777825567023,250,2023-01-03,2023-12-29,0.5164989207557704,-0.10697669096177764,250,2023-01-03,2023-12-29,5.358414682543611e-05,1.0872938925876596e-06
2024,0.2563548615889235,-0.12852797907950997,252,2024-01-02,2024-12-31,0.25636413594049223,-0.1285374591425722,252,2024-01-02,2024-12-31,9.274351568722139e-06,-9.480063062228261e-06
2025,0.16299682342443322,-0.2104766088610499,250,2025-01-02,2025-12-31,0.163052408913694,-0.21048736963148362,250,2025-01-02,2025-12-31,5.558548926076767e-05,-1.0760770433715372e-05
2026,0.1820438383164067,-0.11653238592079718,151,2026-01-02,2026-08-10,0.1820609746268631,-0.11653234531286494,151,2026-01-02,2026-08-10,1.7136310456411508e-05,4.060793223903403e-08
