strategy,total_return,annual_return,max_drawdown,volatility,sharpe,observations,complete_years,mdd_no_worse_years,mdd_strictly_better_years,return_within_5pp_years,both_within_5pp_years,return_within_10pp_years,both_within_10pp_years,min_return_gap,median_return_gap,min_mdd_gap,median_mdd_gap,strict_eligible,strict_mdd_eligible,risk_first_eligible,rsi_entry_threshold,obv_ema_days,exit_indicator,pass_80pct_objective
indicator_neighbor,18.19169976384353,0.16666199097477397,-0.3633879434037539,0.18426737620684575,0.9290459644816548,4830,18,18,18,17,17,18,18,-0.09698287207217149,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,45.0,10,obv,True
indicator_neighbor,18.19169976384353,0.16666199097477397,-0.3633879434037539,0.18426737620684575,0.9290459644816548,4830,18,18,18,17,17,18,18,-0.09698287207217149,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,45.0,10,rsi,True
indicator_neighbor,18.19169976384353,0.16666199097477397,-0.3633879434037539,0.18426737620684575,0.9290459644816548,4830,18,18,18,17,17,18,18,-0.09698287207217149,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,45.0,10,either,True
indicator_neighbor,17.96569909731188,0.16594116522594415,-0.36271363034333237,0.18442401476822265,0.9250614379122343,4830,18,18,18,17,17,18,18,-0.09987668181371112,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,45.0,20,obv,True
indicator_neighbor,17.935520154886163,0.16584429441691362,-0.3633879434037539,0.18442165437297475,0.9246200954550378,4830,18,18,18,17,17,18,18,-0.09987668181371112,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,45.0,20,rsi,True
indicator_neighbor,17.935520154886163,0.16584429441691362,-0.3633879434037539,0.18442165437297475,0.9246200954550378,4830,18,18,18,17,17,18,18,-0.09987668181371112,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,45.0,20,either,True
indicator_neighbor,18.41656064791993,0.16737124044876084,-0.36752189274830016,0.18404343621902067,0.933258831192929,4830,18,18,18,17,17,18,18,-0.07474892682368828,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,45.0,30,obv,True
indicator_neighbor,18.033426916607624,0.16615803267586027,-0.36755569272812405,0.1843868566927463,0.9262195820659987,4830,18,18,18,17,17,17,17,-0.11038238770638942,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,False,45.0,30,rsi,True
indicator_neighbor,18.033426916607624,0.16615803267586027,-0.36755569272812405,0.1843868566927463,0.9262195820659987,4830,18,18,18,17,17,17,17,-0.11038238770638942,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,False,45.0,30,either,True
indicator_neighbor,18.294306110698745,0.16698660051461678,-0.37373525603915714,0.18387930809335065,0.9321321585773706,4830,18,18,18,17,17,18,18,-0.07847401030082746,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,50.0,10,obv,True
indicator_neighbor,18.1271677416658,0.16645699123218582,-0.37373525603915714,0.18397373132764255,0.9292826722812549,4830,18,18,18,17,17,18,18,-0.07847401030082746,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,50.0,10,rsi,True
indicator_neighbor,18.10880818907059,0.16639854840677515,-0.37373525603915714,0.18397458646593703,0.9290066840576221,4830,18,18,18,17,17,18,18,-0.07847401030082746,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,50.0,10,either,True
indicator_neighbor,18.180705834036434,0.16662711262663743,-0.3693364381668911,0.1840122882994475,0.9299171025650474,4830,18,18,18,17,17,18,18,-0.08140476235594019,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,50.0,20,obv,True
indicator_neighbor,17.974388760451045,0.165969030918921,-0.37033247873357344,0.18410439849261195,0.9264806016705726,4830,18,18,18,17,17,18,18,-0.08140476235594019,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,50.0,20,rsi,True
indicator_neighbor,17.956175855481817,0.16591061254171513,-0.37033247873357344,0.18410525259895938,0.9262048275339916,4830,18,18,18,17,17,18,18,-0.08140476235594019,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,50.0,20,either,True
indicator_neighbor,18.667119617190796,0.16815243304647698,-0.3663286510190066,0.18382450884085158,0.9377893964362293,4830,18,18,18,17,17,18,18,-0.07474892682368828,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,50.0,30,obv,True
indicator_neighbor,18.072496493641633,0.16628280274548346,-0.37033247873357344,0.18406954055764596,0.9280835006280495,4830,18,18,18,17,17,18,18,-0.09204458386646097,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,50.0,30,rsi,True
indicator_neighbor,18.090479831502094,0.16634015177233974,-0.37033247873357344,0.1840724795967152,0.9283388903317171,4830,18,18,18,17,17,18,18,-0.09204458386646097,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,50.0,30,either,True
indicator_neighbor,17.87817890573866,0.16565983199074452,-0.3735003387375606,0.1836951687393819,0.9266891573569119,4830,18,18,18,17,17,17,17,-0.11234030836521525,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,False,55.0,10,obv,True
indicator_neighbor,17.685517439894145,0.16503614114062826,-0.3744754347257624,0.1837990609863575,0.9233591541445694,4830,18,18,18,17,17,17,17,-0.11234030836521525,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,False,55.0,10,rsi,True
indicator_neighbor,17.66758181320659,0.1649777695038641,-0.3744754347257624,0.18379991558705222,0.9230829339008042,4830,18,18,18,17,17,17,17,-0.11234030836521525,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,False,55.0,10,either,True
indicator_neighbor,17.767028686898453,0.16530075281115475,-0.3690998708308092,0.18382827497630838,0.9244751861624876,4830,18,18,18,17,17,17,17,-0.11520346580440122,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,False,55.0,20,obv,True
indicator_neighbor,17.536266157294772,0.1645487752071486,-0.3710766791430381,0.1839298415915717,0.9205580629424988,4830,18,18,18,17,17,17,17,-0.11520346580440122,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,False,55.0,20,rsi,True
indicator_neighbor,17.51847379210879,0.16449042798880886,-0.3710766791430381,0.1839306951591948,0.9202820572838096,4830,18,18,18,17,17,17,17,-0.11520346580440122,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,False,55.0,20,either,True
indicator_neighbor,18.246520430997574,0.1668356279100769,-0.36595632334933825,0.18365526643247213,0.9323425531888402,4830,18,18,18,17,17,17,17,-0.10873986524985035,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,False,55.0,30,obv,True
indicator_neighbor,17.632108562416136,0.1648621648312536,-0.3710766791430381,0.18389495766350233,0.9221614911120395,4830,18,18,18,17,17,17,17,-0.1255978913772844,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,False,55.0,30,rsi,True
indicator_neighbor,17.649676661245955,0.16491944400180958,-0.3710766791430381,0.1838979008357404,0.9224171971824844,4830,18,18,18,17,17,17,17,-0.1255978913772844,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,False,55.0,30,either,True
