strategy,annual_return,max_drawdown,sharpe,volatility,mdd_no_worse_years,return_within_5pp_years,both_within_5pp_years,min_return_gap
QQQ,0.16216434341264052,-0.5340399304007597,0.7836972127356518,0.22379197849910268,18,18,18,0.0
v1_frozen,0.17099786833755126,-0.4067651859202325,0.9214834857470129,0.19123148361123068,18,18,18,-0.049395695312717036
LongBear_EMA_RSI_OBV_VIX_multi_indicator,0.16662711262663743,-0.3693364381668911,0.9299171025650474,0.1840122882994475,18,17,17,-0.08140476235594019
