total_return,annual_return,max_drawdown,volatility,sharpe,observations,window,start,end,strategy
-0.4172714865371451,-0.4160263116970998,-0.4999007426178871,0.3992815534176558,-1.1476713539837162,253,2008 全年,2008-01-02,2008-12-31,QQQ
-0.4065056191639289,-0.29377285295577216,-0.5340399304007593,0.3751536918768203,-0.7401184540100073,378,2008 金融危机段,2007-10-01,2009-03-31,QQQ
-0.3257699158587175,-0.3268279319258428,-0.34827972472096713,0.3215022671868639,-1.0697908927839606,251,2022 全年,2022-01-03,2022-12-30,QQQ
-0.31800057649883984,-0.29762369321366755,-0.3511872500183879,0.31521872531238754,-0.9628722340377706,273,2022 熊市段,2021-12-01,2022-12-30,QQQ
-0.27918552815697273,-0.2782522147526938,-0.364782589474394,0.2739935777628311,-1.0524812726702153,253,2008 全年,2008-01-02,2008-12-31,v1_frozen
-0.2826808137884014,-0.19867572723497895,-0.4067651859202327,0.2641812482610376,-0.7060347577406965,378,2008 金融危机段,2007-10-01,2009-03-31,v1_frozen
-0.29091301586058815,-0.29188353772979536,-0.3156349418392753,0.2433356980235351,-1.296124125549436,251,2022 全年,2022-01-03,2022-12-30,v1_frozen
-0.2826771379218356,-0.264108911114984,-0.3186949329818676,0.24225207053276082,-1.1443835612437585,273,2022 熊市段,2021-12-01,2022-12-30,v1_frozen
-0.24586282505178114,-0.2450212365196074,-0.32470504907586906,0.2226955304495639,-1.1504015411363708,253,2008 全年,2008-01-02,2008-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator
-0.26556179663396384,-0.18597669306938558,-0.3693364381668909,0.2198711976999142,-0.8257650619917485,378,2008 金融危机段,2007-10-01,2009-03-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator
-0.2963803308388008,-0.29736503754510313,-0.32003842578822905,0.222602392806767,-1.4734351005605841,251,2022 全年,2022-01-03,2022-12-30,LongBear_EMA_RSI_OBV_VIX_multi_indicator
-0.28820795447294534,-0.269347992544375,-0.3230787276995851,0.22318278515038364,-1.294056177286318,273,2022 熊市段,2021-12-01,2022-12-30,LongBear_EMA_RSI_OBV_VIX_multi_indicator
