date,VIX,VIX3M
2020-08-12,22.2800000000,28.1200000000
2020-08-13,22.1300000000,28.1700000000
2020-08-14,22.0500000000,28.3700000000
2020-08-17,21.3500000000,27.4500000000
2020-08-18,21.5100000000,27.3500000000
2020-08-19,22.5400000000,28.1100000000
2020-08-20,22.7200000000,28.1300000000
2020-08-21,22.5400000000,28.1700000000
2020-08-24,22.3700000000,28.1000000000
2020-08-25,22.0300000000,27.9100000000
2020-08-26,23.2700000000,28.7000000000
2020-08-27,24.4700000000,29.9300000000
2020-08-28,22.9600000000,29.6200000000
2020-08-31,26.4100000000,31.8500000000
2020-09-01,26.1200000000,32.1000000000
2020-09-02,26.5700000000,32.6700000000
2020-09-03,33.6000000000,37.6300000000
2020-09-04,30.7500000000,34.7500000000
2020-09-08,31.4600000000,34.3100000000
2020-09-09,28.8100000000,32.1200000000
2020-09-10,29.7100000000,32.9200000000
2020-09-11,26.8700000000,31.1300000000
2020-09-14,25.8500000000,30.4800000000
2020-09-15,25.5900000000,30.2700000000
2020-09-16,26.0400000000,30.5700000000
2020-09-17,26.4600000000,30.7500000000
2020-09-18,25.8300000000,30.4600000000
2020-09-21,27.7800000000,31.6400000000
2020-09-22,26.8600000000,31.6700000000
2020-09-23,28.5800000000,33.2800000000
2020-09-24,28.5100000000,33.0600000000
2020-09-25,26.3800000000,32.0300000000
2020-09-28,26.1900000000,31.7400000000
2020-09-29,26.2700000000,31.0900000000
2020-09-30,26.3700000000,31.6400000000
2020-10-01,26.7000000000,31.7200000000
2020-10-02,27.6300000000,32.3900000000
2020-10-05,27.9600000000,31.2800000000
2020-10-06,29.4800000000,31.8800000000
2020-10-07,28.0600000000,30.7000000000
2020-10-08,26.3600000000,29.4900000000
2020-10-09,25.0000000000,28.2800000000
2020-10-12,25.0700000000,27.9800000000
2020-10-13,26.0700000000,28.3500000000
2020-10-14,26.4000000000,28.2400000000
2020-10-15,26.9700000000,28.7200000000
2020-10-16,27.4100000000,29.2100000000
2020-10-19,29.1800000000,30.4000000000
2020-10-20,29.3500000000,30.1100000000
2020-10-21,28.6500000000,29.6100000000
2020-10-22,28.1100000000,29.3000000000
2020-10-23,27.5500000000,28.9900000000
2020-10-26,32.4600000000,32.0700000000
2020-10-27,33.3500000000,32.7200000000
2020-10-28,40.2800000000,37.7500000000
2020-10-29,37.5900000000,35.8400000000
2020-10-30,38.0200000000,36.2700000000
2020-11-02,37.1300000000,35.0600000000
2020-11-03,35.5500000000,33.5200000000
2020-11-04,29.5700000000,29.9800000000
2020-11-05,27.5800000000,29.0500000000
2020-11-06,24.8600000000,27.3700000000
2020-11-09,25.7500000000,26.8800000000
2020-11-10,24.8000000000,26.4900000000
2020-11-11,23.4500000000,25.6200000000
2020-11-12,25.3500000000,27.2200000000
2020-11-13,23.1000000000,25.6900000000
2020-11-16,22.4500000000,25.3500000000
2020-11-17,22.7100000000,25.3800000000
2020-11-18,23.8400000000,26.3900000000
2020-11-19,23.1100000000,25.8000000000
2020-11-20,23.7000000000,26.0600000000
2020-11-23,22.6600000000,25.4300000000
2020-11-24,21.6400000000,24.8400000000
2020-11-25,21.2500000000,24.4200000000
2020-11-27,20.8400000000,24.4300000000
2020-11-30,20.5700000000,24.3300000000
2020-12-01,20.7700000000,24.4900000000
2020-12-02,21.1700000000,24.5400000000
2020-12-03,21.2800000000,24.5600000000
2020-12-04,20.7900000000,24.2900000000
2020-12-07,21.3000000000,24.5200000000
2020-12-08,20.6800000000,23.8700000000
2020-12-09,22.2700000000,24.7300000000
2020-12-10,22.5200000000,25.0500000000
2020-12-11,23.3100000000,26.0500000000
2020-12-14,24.7200000000,27.1100000000
2020-12-15,22.8900000000,25.8700000000
2020-12-16,22.5000000000,25.4700000000
2020-12-17,21.9300000000,25.1500000000
2020-12-18,21.5700000000,25.1700000000
2020-12-21,25.1600000000,27.5800000000
2020-12-22,24.2300000000,27.2500000000
2020-12-23,23.3100000000,26.2600000000
2020-12-24,21.5300000000,25.3700000000
2020-12-28,21.7000000000,25.1500000000
2020-12-29,23.0800000000,26.2400000000
2020-12-30,22.7700000000,25.4400000000
2020-12-31,22.7500000000,25.2800000000
2021-01-04,26.9700000000,28.2600000000
2021-01-05,25.3400000000,27.2500000000
2021-01-06,25.0700000000,26.7900000000
2021-01-07,22.3700000000,25.0200000000
2021-01-08,21.5600000000,24.9000000000
2021-01-11,24.0800000000,26.7000000000
2021-01-12,23.3300000000,26.2000000000
2021-01-13,22.2100000000,25.5500000000
2021-01-14,23.2500000000,26.3200000000
2021-01-15,24.3400000000,27.2600000000
2021-01-19,23.2400000000,26.6900000000
2021-01-20,21.5800000000,25.7200000000
2021-01-21,21.3200000000,25.7000000000
2021-01-22,21.9100000000,25.9900000000
2021-01-25,23.1900000000,26.8800000000
2021-01-26,23.0200000000,26.8900000000
2021-01-27,37.2100000000,35.7300000000
2021-01-28,30.2100000000,31.7700000000
2021-01-29,33.0900000000,33.8800000000
2021-02-01,30.2400000000,32.5300000000
2021-02-02,25.5600000000,29.3600000000
2021-02-03,22.9100000000,27.5700000000
2021-02-04,21.7700000000,26.7900000000
2021-02-05,20.8700000000,26.5200000000
2021-02-08,21.2400000000,26.6500000000
2021-02-09,21.6300000000,27.1100000000
2021-02-10,21.9900000000,27.4900000000
2021-02-11,21.2500000000,27.2200000000
2021-02-12,19.9700000000,26.5000000000
2021-02-16,21.4600000000,27.5500000000
2021-02-17,21.5000000000,27.5200000000
2021-02-18,22.4900000000,27.8600000000
2021-02-19,22.0500000000,27.0900000000
2021-02-22,23.4500000000,27.8100000000
2021-02-23,23.1100000000,27.1200000000
2021-02-24,21.3400000000,25.8900000000
2021-02-25,28.8900000000,30.2400000000
2021-02-26,27.9500000000,29.6000000000
2021-03-01,23.3500000000,26.7800000000
2021-03-02,24.1000000000,27.1600000000
2021-03-03,26.6700000000,28.7900000000
2021-03-04,28.5700000000,30.0800000000
2021-03-05,24.6600000000,27.8900000000
2021-03-08,25.4700000000,28.1300000000
2021-03-09,24.0300000000,27.2800000000
2021-03-10,22.5600000000,26.6800000000
2021-03-11,21.9100000000,26.0900000000
2021-03-12,20.6900000000,25.7400000000
2021-03-15,20.0300000000,24.8900000000
2021-03-16,19.7900000000,24.7100000000
2021-03-17,19.2300000000,23.8800000000
2021-03-18,21.5800000000,25.2800000000
2021-03-19,20.9500000000,24.9900000000
2021-03-22,18.8800000000,22.9400000000
2021-03-23,20.3000000000,23.8000000000
2021-03-24,21.2000000000,24.4000000000
2021-03-25,19.8100000000,23.3700000000
2021-03-26,18.8600000000,22.3200000000
2021-03-29,20.7400000000,23.2000000000
2021-03-30,19.6100000000,22.3100000000
2021-03-31,19.4000000000,22.1500000000
2021-04-01,17.3300000000,20.9700000000
2021-04-05,17.9100000000,20.9600000000
2021-04-06,18.1200000000,21.1600000000
2021-04-07,17.1600000000,20.6600000000
2021-04-08,16.9500000000,20.5900000000
2021-04-09,16.6900000000,20.7400000000
2021-04-12,16.9100000000,20.8200000000
2021-04-13,16.6500000000,20.7800000000
2021-04-14,16.9900000000,21.0600000000
2021-04-15,16.5700000000,20.7600000000
2021-04-16,16.2500000000,20.5300000000
2021-04-19,17.2900000000,21.3700000000
2021-04-20,18.6800000000,22.3500000000
2021-04-21,17.5000000000,21.4900000000
2021-04-22,18.7100000000,22.5200000000
2021-04-23,17.3300000000,21.5700000000
2021-04-26,17.6400000000,21.5400000000
2021-04-27,17.5600000000,21.3200000000
2021-04-28,17.2800000000,21.1300000000
2021-04-29,17.6100000000,21.3100000000
2021-04-30,18.6100000000,22.0700000000
2021-05-03,18.3100000000,21.7400000000
2021-05-04,19.4800000000,22.6700000000
2021-05-05,19.1500000000,22.2600000000
2021-05-06,18.3900000000,21.8800000000
2021-05-07,16.6900000000,20.7900000000
2021-05-10,19.6600000000,22.4000000000
2021-05-11,21.8400000000,24.2300000000
2021-05-12,27.5900000000,28.1800000000
2021-05-13,23.1300000000,25.2600000000
2021-05-14,18.8100000000,22.2600000000
2021-05-17,19.7200000000,23.1400000000
2021-05-18,21.3400000000,24.2200000000
2021-05-19,22.1800000000,25.2700000000
2021-05-20,20.6700000000,23.8100000000
2021-05-21,20.1500000000,23.4900000000
2021-05-24,18.4000000000,22.2300000000
2021-05-25,18.8400000000,22.4000000000
2021-05-26,17.3600000000,21.3000000000
2021-05-27,16.7400000000,20.3100000000
2021-05-28,16.7600000000,20.4800000000
2021-06-01,17.9000000000,21.3400000000
2021-06-02,17.4800000000,21.4200000000
2021-06-03,18.0400000000,21.8200000000
2021-06-04,16.4200000000,20.6200000000
2021-06-07,16.4200000000,20.5500000000
2021-06-08,17.0700000000,20.8500000000
2021-06-09,17.8900000000,21.2800000000
2021-06-10,16.1000000000,20.0800000000
2021-06-11,15.6500000000,19.6400000000
2021-06-14,16.3900000000,20.1400000000
2021-06-15,17.0200000000,20.6800000000
2021-06-16,18.1500000000,21.2600000000
2021-06-17,17.7500000000,20.9800000000
2021-06-18,20.7000000000,22.9300000000
2021-06-21,17.8900000000,21.1200000000
2021-06-22,16.6600000000,20.0700000000
2021-06-23,16.3200000000,19.7000000000
2021-06-24,15.9700000000,19.2600000000
2021-06-25,15.6200000000,19.0000000000
