date,QQQ,TLT,IAU,XLU,BIL
2018-04-02,0.7115993999409331,0.04326009000886003,0.1009402100206734,0.02884006000590669,0.11536024002362676
2018-04-03,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-04,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-05,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-06,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-09,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-10,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-11,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-12,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-13,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-16,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-17,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-18,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-19,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-20,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-23,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-24,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-25,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-26,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-27,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-04-30,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-05-01,0.7650147889812431,0.035247781652813524,0.0822448238565649,0.023498521101875686,0.09399408440750275
2018-05-02,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-03,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-04,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-07,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-08,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-09,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-10,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-11,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-14,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-15,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-16,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-17,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-18,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-21,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-22,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-23,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-24,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-25,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-29,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-30,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-05-31,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-01,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-04,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-05,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-06,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-07,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-08,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-11,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-12,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-13,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-14,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-15,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-18,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-19,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-20,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-21,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-22,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-25,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-26,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-27,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-28,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-06-29,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-02,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-03,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-05,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-06,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-09,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-10,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-11,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-12,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-13,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-16,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-17,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-18,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-19,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-20,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-23,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-24,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-25,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-26,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-27,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-30,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-07-31,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-01,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-02,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-03,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-06,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-07,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-08,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-09,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-10,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-13,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-14,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-15,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-16,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-17,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-20,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-21,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-22,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-23,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-24,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-27,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-28,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-29,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-30,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-08-31,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-04,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-05,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-06,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-07,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-10,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-11,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-12,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-13,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-14,0.99,0.0015,0.0034999999999999996,0.001,0.004
